id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
B0I6HC1G3A,山东双合铁矿有限公司(西门),[],山东省,370000,济宁市,537,鱼台县,370827,[],通行设施;临街院门;临街院门,[],2022-05-26T22:32:55,116.770661,34.940862,116.76513940028882,34.94161907452952,通行设施,临街院门,临街院门
B0FFLJ64PU,天兴大厦(南门),崇文路与金山街交叉口东40米,山东省,370000,济宁市,537,金乡县,370828,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/b9d92d5987eb2bdcb34dc591cc4e7e97'}, {'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/48d84f00-c9a1-4d4a-81fc-b9d43cd39c13.jpg'}]",2022-05-26T22:32:28,116.314207,35.081685,116.30865058920917,35.0822170916801,通行设施,临街院门,临街院门
B0FFLJU5XJ,旧货市场(东2门),弘路段,山东省,370000,济宁市,537,曲阜市,370881,[],通行设施;临街院门;临街院门,[],2022-05-26T22:31:12,116.997124,35.572144,116.99141332460157,35.57229798963632,通行设施,临街院门,临街院门
B0FFLJ64LO,金乡县烟草专卖局(北门),文峰路60号附近,山东省,370000,济宁市,537,金乡县,370828,[],通行设施;临街院门;临街院门,[],2022-05-26T22:31:03,116.309888,35.07105,116.30434131921726,35.07160172227018,通行设施,临街院门,临街院门
B0FFLBYOHI,新城发展大厦(东门),运河路,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/951c4b013e295bc81b39b966ed5d6000'}]",2022-05-26T22:29:20,116.598949,35.360762,116.593663669829,35.36125852011537,通行设施,临街院门,临街院门
B0FFKBCUT1,中都尚城(西门),普陀山路东50米,山东省,370000,济宁市,537,汶上县,370830,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c4bc933c37a5d0ead5d7d57000d9e88a'}]",2022-05-26T22:28:11,116.5052,35.702158,116.49968983080012,35.70225936489925,通行设施,临街院门,临街院门
B0HKLUVCH1,柳行新村西区(东门),玄帝庙街与博远路交叉口南80米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,[],2022-05-26T22:23:43,116.572927,35.395119,116.56762724010068,35.39557235043578,通行设施,临街院门,临街院门
B0FFL38JK5,息马地农贸市场(西1门),西御桥北路316号附近,山东省,370000,济宁市,537,兖州区,370812,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/69049b8daa5ba90d0f1557eb7b081e79'}]",2022-05-26T22:23:28,116.823245,35.552653,116.81772836563688,35.55289872128438,通行设施,临街院门,临街院门
B0HK0UJ3ZH,龙城7090小区(东门),济阳南街与龙行路交叉口北100米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,[],2022-05-26T22:21:02,116.567445,35.398485,116.562137760644,35.39892883392843,通行设施,临街院门,临街院门
B0HK3ZML9X,山东省微山县西平供销(南门),[],山东省,370000,济宁市,537,微山县,370826,[],通行设施;临街院门;临街院门,[],2022-05-26T22:20:14,116.930335,34.852715,116.92493075413763,34.85372507198813,通行设施,临街院门,临街院门
