id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
B0FFMD5LYK,音乐喷泉,安宁路豪德商贸城,山东省,370000,济宁市,537,任城区,370811,0537-7825858;15064770006,风景名胜;风景名胜相关;旅游景点,[],2022-06-20T18:03:13,116.528499,35.398351,116.52309925453008,35.39871433250778,风景名胜,风景名胜相关,旅游景点
B0G0M1NC6L,知言门,近圣路亚圣街44号孟庙孟府,山东省,370000,济宁市,537,邹城市,370883,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-20T02:56:00,116.974065,35.389041,116.96846941801972,35.389396924748986,风景名胜,风景名胜相关,旅游景点
B021900B26,张家家园,杨店镇中心大街,山东省,370000,济宁市,537,汶上县,370830,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-20T02:24:40,116.536337,35.828976,116.53091697205508,35.829115532595104,风景名胜,风景名胜相关,旅游景点
B0FFHWVBQC,老庙(银座商城),文化路与中兴路交汇处银座商城F1层,山东省,370000,济宁市,537,泗水县,370831,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-20T01:49:47,117.268636,35.659749,117.26275271538267,35.65983392131604,风景名胜,风景名胜相关,旅游景点
B0HK07I2F2,悦城第五代城市休闲广场,文峰路与西环路交叉路口往东南约80米,山东省,370000,济宁市,537,金乡县,370828,[],风景名胜;公园广场;城市广场,[],2022-06-20T00:36:02,116.284603,35.070396,116.27909805579566,35.07098744335958,风景名胜,公园广场,城市广场
B0FFIBBXVA,宣阜巷文化广场,宣阜巷文化街与五曲巷交叉处北60米,山东省,370000,济宁市,537,任城区,370811,[],风景名胜;公园广场;城市广场,[],2022-06-20T00:29:07,116.576889,35.405904,116.57159229109166,35.40635234084044,风景名胜,公园广场,城市广场
B0FFGA8SZF,高铁新区孔子广场,孔子大道东首,山东省,370000,济宁市,537,曲阜市,370881,[],风景名胜;公园广场;城市广场,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/0071653244c3e40ff31f382c519b76c3'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/1483f6d59a0dadd7f70e86714943eaea'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/db9689c1a50681e60d90f28b302e42b1'}]",2022-06-20T00:23:47,117.065192,35.556078,117.05923534502702,35.55607097076823,风景名胜,公园广场,城市广场
B02190XH2W,兴泉庄汉墓群,[],山东省,370000,济宁市,537,邹城市,370883,[],风景名胜;风景名胜相关;旅游景点,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/41c121973d16c063b2d3851c6527756d'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/37bc55ceade938e46cb481ebc95f0b13'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/38b600a000fa40e8fcc9128d50f5393c'}]",2022-06-20T00:10:47,116.97746,35.242631,116.97186614263458,35.2431141104994,风景名胜,风景名胜相关,旅游景点
B0FFJ9E96E,孔孟诞生圣地碑,邾国街109号西70米,山东省,370000,济宁市,537,邹城市,370883,[],风景名胜;风景名胜相关;旅游景点,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/43d22987e69e27ae855355fcee5ae709'}, {'provider': [], 'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/ce9de7f5-4abd-4efe-bde4-b509aac176ff.jpg'}, {'provider': [], 'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/2818d49d-6cae-43f1-80d7-5717950389c5.jpg'}]",2022-06-19T23:57:53,116.958898,35.401782,116.95335741978316,35.40216629110806,风景名胜,风景名胜相关,旅游景点
B0FFIWPB1E,济宁市北湖省级旅游度假区,北湖省级旅游度假区管理委员会,山东省,370000,济宁市,537,任城区,370811,[],风景名胜;风景名胜;省级景点,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/d3eb55a931628b9a82ebfdf8f3d3c57b'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/28d018c09862909daf83ab5f01103d2b'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/21f36af2515f9e3ce845d41fd8abc5f6'}]",2022-06-19T23:53:30,116.619623,35.332297,116.61432301773816,35.332808979001506,风景名胜,风景名胜,省级景点
B0FFLCD8VM,颜庙-石碑,鼓楼北街4号颜庙内,山东省,370000,济宁市,537,曲阜市,370881,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-19T23:44:38,116.99422,35.600374,116.98851875029244,35.60052001226303,风景名胜,风景名胜相关,旅游景点
B0IG7KMYWS,道冠六经,半壁街与南马道西街中山北路东北60米,山东省,370000,济宁市,537,曲阜市,370881,[],风景名胜;风景名胜;寺庙道观,[],2022-06-19T23:12:47,116.988565,35.591825,116.982888690132,35.59199298918604,风景名胜,风景名胜,寺庙道观
B0FFK0N45O,王母阁社区文化广场,运河路67附近,山东省,370000,济宁市,537,任城区,370811,[],风景名胜;公园广场;城市广场,[],2022-06-19T22:31:19,116.589582,35.399428,116.58429323377372,35.39988985739664,风景名胜,公园广场,城市广场
B02190B8UP,猕猴园,244省道百鸟园附近,山东省,370000,济宁市,537,泗水县,370831,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-19T22:26:41,117.39263,35.559565,117.38649965341492,35.55952758255082,风景名胜,风景名胜相关,旅游景点
B0FFG8AFDM,南池公园对过,南池公园,山东省,370000,济宁市,537,任城区,370811,[],风景名胜;公园广场;水族馆,[],2022-06-19T21:48:20,116.578568,35.396008,116.5732737685812,35.39646610210544,风景名胜,公园广场,水族馆
B0FFG00Q56,星云寺,老南村向西1500米,山东省,370000,济宁市,537,曲阜市,370881,[],风景名胜;风景名胜;寺庙道观,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/04959f5ccad200607ebb5eb9d7505735'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/8eefdfa2755a6e54c3c109b307ae5839'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/31231bc1be28edd01aa7955c99cf61a0'}]",2022-06-19T21:33:07,117.185154,35.579168,117.17924141623234,35.57923619951519,风景名胜,风景名胜,寺庙道观
