,id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
1077,B0FFLMCNY8,G103(万达广场),太白东路55号万达广场B2层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:55:34,116.604342,35.408237,116.59904948303144,35.408691918900736,室内设施,室内设施,室内设施
1078,B0FFLIN8TV,停车位(银座商城兖州店),龙桥路与建设路交汇处银座商城(兖州店)B1层,山东省,370000,济宁市,537,兖州区,370812,[],室内设施;室内设施;室内设施,[],2022-05-28T18:55:11,116.815933,35.554897,116.81040319926228,35.55512776962928,室内设施,室内设施,室内设施
1079,B0FFLIN86K,236(运河城商业摩尔),共青团路17号运河城商业摩尔B3层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:55:10,116.58961,35.407894,116.58432039239284,35.40834881898478,室内设施,室内设施,室内设施
1080,B0FFLIMI34,48号(诚信购物中心),文峰路与奎星路交汇处西南角诚信购物中心B1层,山东省,370000,济宁市,537,金乡县,370828,[],室内设施;室内设施;室内设施,[],2022-05-28T18:55:07,116.315598,35.070027,116.3100399351706,35.07056944161213,室内设施,室内设施,室内设施
1081,B0FFLIN88R,314(运河城商业摩尔),共青团路17号运河城商业摩尔B3层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:54:56,116.589514,35.408151,116.58422434580648,35.408605572373645,室内设施,室内设施,室内设施
1082,B0FFLIN82R,107(运河城商业摩尔),共青团路17号运河城商业摩尔B3层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:54:45,116.590078,35.407446,116.58478853148188,35.40790134976785,室内设施,室内设施,室内设施
1083,B0FFLMCNPG,F081(万达广场),太白东路55号万达广场B2层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:54:16,116.603213,35.408622,116.59792108438404,35.40907690545324,室内设施,室内设施,室内设施
1084,B0FFLKPY49,250(红星美凯龙),金宇路99号东升美凯龙F5层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:54:06,116.608759,35.431473,116.60346100422925,35.43190734019243,室内设施,室内设施,室内设施
1085,B0FFLIN8HR,154(运河城商业摩尔),共青团路17号运河城商业摩尔B2层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:54:05,116.589889,35.40801,116.58459943844666,35.40846481962486,室内设施,室内设施,室内设施
1086,B0FFLIN8LS,284(运河城商业摩尔),共青团路17号桥梁城商业摩尔B2层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:53:56,116.59069,35.408472,116.58540053338568,35.408926695527455,室内设施,室内设施,室内设施
1087,B0FFLIN85J,200(运河城商业摩尔),共青团路17号桥梁城商业摩尔B3层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:53:20,116.589646,35.408628,116.58435632659628,35.40908222476987,室内设施,室内设施,室内设施
1088,B0FFLIN8BH,407(运河城商业摩尔),共青团路17号运河城商业摩尔B3层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:52:35,116.590469,35.408321,116.58517951315636,35.40877575207025,室内设施,室内设施,室内设施
1089,B0FFLKPY0N,119(红星美凯龙),金宇路99号红星美凯龙F5层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:51:17,116.609092,35.431752,116.60379369764036,35.43218595641504,室内设施,室内设施,室内设施
1090,B0FFLIN7ZP,015(运河城商业摩尔),共青团路17号运河城商业摩尔B3层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:49:55,116.589642,35.407248,116.58435246390184,35.40770336491501,室内设施,室内设施,室内设施
1091,B0FFLMCNR2,F124(万达广场),太白东路55号万达广场B2层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:25:39,116.603165,35.408468,116.59787312550662,35.40892304448643,室内设施,室内设施,室内设施
1092,B0FFLMCNUY,G020(万达广场),太白东路55号万达广场B2层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:25:15,116.604414,35.408979,116.59912136559508,35.40943328445289,室内设施,室内设施,室内设施
1093,B0FFLMCNYT,G112(万达广场),太白东路55号万达广场B2层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:24:30,116.604653,35.408365,116.59936028201932,35.408819719627594,室内设施,室内设施,室内设施
1094,B0FFLKPXZ4,073(红星美凯龙),金宇路99号红星美凯龙F5层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:22:55,116.60889,35.431866,116.60359185588749,35.432299963964226,室内设施,室内设施,室内设施
1095,B0FFLIN8HL,149(运河城商业摩尔),共青团路17号运河城商业摩尔B2层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:22:39,116.589949,35.408052,116.5846594460702,35.4085068052031,室内设施,室内设施,室内设施
1096,B0FFLIN8O2,357(运河城商业摩尔),共青团路17号运河城商业摩尔B2层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-05-28T18:19:28,116.589821,35.407415,116.5845314843626,35.407870288761934,室内设施,室内设施,室内设施
